date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins,assist_percentage_SMA,assist_percentage_CMA,assist_percentage_EMA,assists_SMA,assists_CMA,assists_EMA,block_percentage_SMA,block_percentage_CMA,block_percentage_EMA,blocks_SMA,blocks_CMA,blocks_EMA,defensive_rating_SMA,defensive_rating_CMA,defensive_rating_EMA,defensive_rebound_percentage_SMA,defensive_rebound_percentage_CMA,defensive_rebound_percentage_EMA,defensive_rebounds_SMA,defensive_rebounds_CMA,defensive_rebounds_EMA,effective_field_goal_percentage_SMA,effective_field_goal_percentage_CMA,effective_field_goal_percentage_EMA,field_goal_attempts_SMA,field_goal_attempts_CMA,field_goal_attempts_EMA,field_goal_percentage_SMA,field_goal_percentage_CMA,field_goal_percentage_EMA,field_goals_SMA,field_goals_CMA,field_goals_EMA,free_throw_attempt_rate_SMA,free_throw_attempt_rate_CMA,free_throw_attempt_rate_EMA,free_throw_attempts_SMA,free_throw_attempts_CMA,free_throw_attempts_EMA,free_throw_percentage_SMA,free_throw_percentage_CMA,free_throw_percentage_EMA,free_throws_SMA,free_throws_CMA,free_throws_EMA,losses_SMA,losses_CMA,losses_EMA,minutes_played_SMA,minutes_played_CMA,minutes_played_EMA,offensive_rating_SMA,offensive_rating_CMA,offensive_rating_EMA,offensive_rebound_percentage_SMA,offensive_rebound_percentage_CMA,offensive_rebound_percentage_EMA,offensive_rebounds_SMA,offensive_rebounds_CMA,offensive_rebounds_EMA,personal_fouls_SMA,personal_fouls_CMA,personal_fouls_EMA,points_SMA,points_CMA,points_EMA,steal_percentage_SMA,steal_percentage_CMA,steal_percentage_EMA,steals_SMA,steals_CMA,steals_EMA,three_point_attempt_rate_SMA,three_point_attempt_rate_CMA,three_point_attempt_rate_EMA,three_point_field_goal_attempts_SMA,three_point_field_goal_attempts_CMA,three_point_field_goal_attempts_EMA,three_point_field_goal_percentage_SMA,three_point_field_goal_percentage_CMA,three_point_field_goal_percentage_EMA,three_point_field_goals_SMA,three_point_field_goals_CMA,three_point_field_goals_EMA,total_rebound_percentage_SMA,total_rebound_percentage_CMA,total_rebound_percentage_EMA,total_rebounds_SMA,total_rebounds_CMA,total_rebounds_EMA,true_shooting_percentage_SMA,true_shooting_percentage_CMA,true_shooting_percentage_EMA,turnover_percentage_SMA,turnover_percentage_CMA,turnover_percentage_EMA,turnovers_SMA,turnovers_CMA,turnovers_EMA,two_point_field_goal_attempts_SMA,two_point_field_goal_attempts_CMA,two_point_field_goal_attempts_EMA,two_point_field_goal_percentage_SMA,two_point_field_goal_percentage_CMA,two_point_field_goal_percentage_EMA,two_point_field_goals_SMA,two_point_field_goals_CMA,two_point_field_goals_EMA,win_percentage_SMA,win_percentage_CMA,win_percentage_EMA,wins_SMA,wins_CMA,wins_EMA
2019-11-28,"HP Field House, Orlando, Florida",USC,Fairfield,Away,47.1,8,0.0,0,83.1,76.7,23,0.341,63,0.27,17,0.095,6,0.667,4,5,200,72.3,22.5,9,13,47,10.8,7,0.413,26,0.346,9,45.7,32,0.357,12.1,9,37,0.216,8,0.167,1,50.72,50.72,53.439506172839515,11.4,11.4,11.69135802469136,10.719999999999999,10.719999999999999,11.192592592592593,3.6,3.6,3.8395061728395063,101.72,101.72,104.1925925925926,80.17999999999999,80.17999999999999,78.39382716049383,24.8,24.8,24.382716049382722,0.48200000000000004,0.48200000000000004,0.4804567901234569,54.2,54.2,54.25925925925927,0.42679999999999996,0.42679999999999996,0.41724691358024696,23.2,23.2,22.740740740740744,0.2932,0.2932,0.2692716049382717,16.0,16.0,14.790123456790125,0.7782,0.7782,0.8013456790123458,12.2,12.2,11.543209876543212,2.4,2.4,2.6913580246913584,210.0,210.0,209.39506172839512,93.25999999999999,93.25999999999999,91.54320987654322,22.66,22.66,22.033333333333335,6.8,6.8,6.60493827160494,17.4,17.4,18.4320987654321,64.4,64.4,63.64197530864199,10.16,10.16,9.651851851851852,7.0,7.0,6.71604938271605,0.3292,0.3292,0.3499012345679013,17.6,17.6,18.679012345679013,0.30579999999999996,0.30579999999999996,0.3236296296296296,5.8,5.8,6.617283950617285,51.86,51.86,50.7851851851852,31.6,31.6,30.98765432098766,0.521,0.521,0.518888888888889,17.84,17.84,18.686419753086422,13.4,13.4,14.024691358024693,36.6,36.6,35.580246913580254,0.45899999999999996,0.45899999999999996,0.4278641975308643,17.4,17.4,16.12345679012346,0.15660000000000002,0.15660000000000002,0.17155555555555557,0.6,0.6,0.7037037037037037
2019-11-29,"ESPN Wide World of Sports, Orlando, Florida",Fairfield,Davidson,Home,16.7,4,7.1,2,108.1,80.0,20,0.51,50,0.48,24,0.28,14,0.357,5,6,200,90.3,23.3,7,12,56,4.8,3,0.36,18,0.167,3,49.1,27,0.494,16.4,11,32,0.656,21,0.143,1,52.64,50.11666666666667,51.326337448559684,11.2,10.833333333333334,10.46090534979424,8.84,8.933333333333332,7.46172839506173,3.0,3.0,2.5596707818930047,99.17999999999999,98.61666666666667,97.16172839506174,78.1,79.60000000000001,77.8292181069959,24.0,24.5,23.921810699588484,0.4654,0.45849999999999996,0.43397119341563795,55.0,55.666666666666664,57.17283950617285,0.3994,0.40066666666666667,0.368164609053498,21.8,22.166666666666668,20.827160493827165,0.2444,0.26016666666666666,0.21118106995884778,13.2,14.333333333333334,11.86008230452675,0.7716,0.7596666666666666,0.7565637860082306,10.2,10.833333333333334,9.028806584362142,3.2,2.8333333333333335,3.4609053497942392,210.2,208.33333333333334,206.26337448559676,89.69999999999999,89.76666666666667,85.12880658436215,21.6,22.633333333333336,22.18888888888889,6.6,7.166666666666667,7.40329218106996,16.8,16.666666666666668,16.621399176954736,61.0,61.5,58.094650205761326,11.48,10.266666666666667,10.034567901234569,7.8,7.0,6.810699588477367,0.3712,0.3431666666666667,0.3709341563786009,20.4,19.0,21.11934156378601,0.3416,0.3125,0.3310864197530864,7.2,6.333333333333333,7.411522633744857,49.96,50.833333333333336,49.09012345679014,30.6,31.666666666666668,31.32510288065844,0.499,0.4936666666666667,0.464925925925926,17.259999999999998,16.883333333333333,16.490946502057618,12.8,12.666666666666666,12.34979423868313,34.6,36.666666666666664,36.05349794238684,0.4086,0.41850000000000004,0.3572427983539096,14.6,15.833333333333334,13.415637860082306,0.19,0.15833333333333335,0.17003703703703707,0.8,0.6666666666666666,0.8024691358024691
2019-12-01,"HP Field House, Orlando, Florida",Texas A&M,Fairfield,Home,72.7,16,0.0,0,101.6,84.0,21,0.549,51,0.431,22,0.275,14,0.786,11,6,200,109.8,34.6,9,16,67,8.2,5,0.569,29,0.414,12,58.8,30,0.581,18.5,13,22,0.455,10,0.25,2,43.6,45.34285714285714,39.78422496570646,9.4,9.857142857142858,8.307270233196162,9.639999999999999,8.67142857142857,7.341152263374487,3.2,2.857142857142857,2.3731138545953367,100.8,99.97142857142856,100.80781893004117,76.76,79.65714285714286,78.5528120713306,22.8,23.857142857142858,22.614540466392324,0.47140000000000004,0.46585714285714286,0.45931412894375867,55.0,54.857142857142854,54.78189300411523,0.4114,0.412,0.40544307270233204,22.4,22.428571428571427,21.884773662551446,0.2364,0.263,0.23412071330589856,12.8,14.285714285714286,12.573388203017835,0.693,0.7021428571428572,0.6233758573388205,8.8,10.0,7.685871056241428,4.0,3.2857142857142856,4.30727023319616,210.2,207.14285714285714,204.17558299039786,88.4,89.84285714285714,86.85253772290811,22.380000000000003,22.728571428571428,22.55925925925926,6.8,7.142857142857143,7.2688614540466405,15.8,16.0,15.080932784636492,60.2,60.714285714285715,57.39643347050755,9.86,9.485714285714286,8.28971193415638,6.8,6.428571428571429,5.540466392318245,0.37520000000000003,0.3455714285714286,0.36728943758573396,20.6,18.857142857142858,20.079561042524006,0.3044,0.2917142857142857,0.27639094650205764,6.6,5.857142857142857,5.941015089163239,49.28000000000001,50.58571428571429,49.0934156378601,29.6,31.0,29.883401920438963,0.4936,0.4937142857142857,0.4746172839506174,17.559999999999995,16.814285714285713,16.460631001371745,13.0,12.428571428571429,11.899862825788754,34.4,36.0,34.70233196159123,0.4488,0.4524285714285714,0.4568285322359398,15.8,16.571428571428573,15.943758573388205,0.2186,0.15614285714285714,0.16102469135802472,1.0,0.7142857142857143,0.8683127572016462
2019-12-08,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",William & Mary,Fairfield,Away,39.1,9,2.7,1,93.9,74.1,20,0.472,54,0.426,23,0.222,12,0.583,7,7,200,87.9,18.5,5,15,58,7.6,5,0.259,14,0.357,5,46.3,25,0.486,15.7,11,40,0.45,18,0.222,2,51.739999999999995,48.7625,50.75614997713764,11.0,10.625,10.871513488797442,5.4,7.5874999999999995,4.894101508916325,1.8,2.5,1.582075903063558,102.85999999999999,100.175,101.07187928669411,79.68,80.2,80.36854138088708,22.0,23.5,22.076360310928216,0.47940000000000005,0.47625,0.48920941929583917,54.4,54.375,53.52126200274349,0.40499999999999997,0.414375,0.4139620484682214,21.8,22.375,21.923182441700966,0.221,0.2645,0.2477471422039324,11.8,14.25,13.048925468678558,0.7134,0.7126250000000001,0.677583904892547,8.4,10.125,8.790580704160952,4.8,3.625,4.87151348879744,205.2,206.25,202.7837219935986,90.64,92.33749999999999,94.50169181527207,24.3,24.2125,26.57283950617284,7.2,7.375,7.845907636031094,17.0,16.0,15.387288523090994,60.0,61.5,60.59762231367171,8.9,9.325,8.259807956104254,6.0,6.25,5.360310928212163,0.426,0.3735,0.4345262917238226,23.0,20.125,23.053040695016005,0.32839999999999997,0.307,0.32226063100137176,8.0,6.625,7.960676726108826,51.040000000000006,51.6125,52.3289437585734,29.2,30.875,29.922267946959312,0.502,0.504625,0.5100781893004116,18.04,17.025,17.140420667581164,13.2,12.5,12.266575217192504,31.4,34.25,30.468221307727486,0.4316,0.45275,0.45621902149062654,13.8,15.75,13.962505715592137,0.202,0.167875,0.1906831275720165,1.2,0.875,1.245541838134431
2019-12-21,"Athletics Center O'rena, Rochester, Michigan",Fairfield,Oakland,Away,28.0,7,5.3,2,76.6,69.7,23,0.429,63,0.397,25,0.19,12,0.583,7,7,225,79.2,22.6,7,18,61,13.0,10,0.254,16,0.25,4,46.9,30,0.444,19.0,16,47,0.447,21,0.3,3,49.559999999999995,47.68888888888889,46.87076665142509,10.0,10.444444444444445,10.247675659198295,4.6,7.044444444444444,4.16273433927755,1.6,2.3333333333333335,1.3880506020423722,100.1,99.47777777777777,98.68125285779608,76.1,79.52222222222223,78.27902758725806,21.4,23.11111111111111,21.38424020728548,0.4686,0.4757777777777778,0.48347294619722614,53.8,54.333333333333336,53.680841335162334,0.392,0.4156666666666667,0.41797469897881423,20.8,22.444444444444443,22.282121627800645,0.20579999999999998,0.2597777777777778,0.23916476146928828,10.8,14.0,12.699283645785707,0.6536,0.6982222222222222,0.6460559365950314,6.8,9.777777777777779,8.193720469440635,5.6,4.0,5.581008992531627,200.2,205.55555555555554,201.85581466239907,88.97999999999999,91.84444444444445,92.30112787684806,23.0,23.577777777777776,23.881893004115227,7.0,7.111111111111111,6.897271757354064,15.4,15.88888888888889,15.25819234872733,56.6,61.111111111111114,59.73174820911447,8.12,9.133333333333333,8.039871970736169,5.2,6.111111111111111,5.240207285474776,0.41819999999999996,0.36077777777777775,0.37601752781588177,22.4,19.444444444444443,20.035360463344006,0.3528,0.31255555555555553,0.3338404206675812,8.2,6.444444444444445,6.973784484072551,48.46,51.02222222222222,50.319295839048934,28.4,30.22222222222222,28.28151196463954,0.484,0.5025555555555555,0.5020521262002744,16.619999999999997,16.87777777777778,16.66028044505411,11.6,12.333333333333334,11.844383478128336,31.4,34.888888888888886,33.64548087181832,0.4016,0.4524444444444444,0.45414601432708435,12.6,16.0,15.308337143728092,0.19640000000000002,0.17388888888888887,0.201122085048011,1.4,1.0,1.4970278920896207
2019-12-28,"Spiro Sports Center, Staten Island, New York",Fairfield,Wagner,Away,47.6,10,7.1,3,81.8,72.2,26,0.511,45,0.467,21,0.622,28,0.714,20,7,200,100.0,33.3,8,15,66,6.1,4,0.2,9,0.444,4,56.7,34,0.566,19.6,14,36,0.472,17,0.364,4,40.72,45.72,40.58051110095006,8.8,10.1,9.165117106132197,3.02,6.87,4.5418228928517,1.0,2.3,1.592033734694915,92.66,97.19,91.32083523853073,76.9,78.53999999999999,75.41935172483872,21.4,23.1,21.92282680485699,0.46020000000000005,0.4711,0.4653152974648175,56.2,55.2,56.787227556774894,0.4008,0.4138,0.4109831326525428,22.2,22.7,23.18808108520043,0.2124,0.2528,0.2227765076461922,11.6,13.8,12.466189097190473,0.5952,0.6867,0.6250372910633543,6.8,9.5,7.795813646293757,6.2,4.3,6.054005995021085,205.0,207.5,209.57054310826607,87.9,90.58,87.93408525123203,24.3,23.48,23.45459533607682,7.4,7.1,6.93151450490271,14.8,16.1,16.172128232484887,57.8,61.1,60.15449880607632,8.879999999999999,9.52,9.69324798049078,6.0,6.5,6.826804856983184,0.371,0.35009999999999997,0.33534501854392124,20.6,19.1,18.690240308896005,0.3068,0.30629999999999996,0.3058936137783875,6.6,6.2,5.982522989381701,49.36,50.61,49.17953055936596,28.8,30.2,28.854341309759697,0.47240000000000004,0.4967,0.4827014174668496,16.339999999999996,17.09,17.440186963369406,12.0,12.7,13.229588985418891,35.6,36.1,38.096987247878886,0.4448,0.4519,0.4517640095513896,15.6,16.5,17.20555809581873,0.21639999999999998,0.1865,0.23408139003200734,1.8,1.2,1.998018594726414
2020-01-03,"Gallagher Center, Niagara University, New York",Fairfield,Niagara,Home,48.1,13,6.3,2,117.2,79.2,19,0.483,60,0.45,27,0.283,17,0.471,8,8,200,103.1,51.4,19,16,66,3.1,2,0.233,14,0.286,4,62.3,38,0.485,19.2,16,46,0.5,23,0.333,4,40.82000000000001,45.89090909090909,42.92034073396671,9.2,10.090909090909092,9.443411404088131,4.4399999999999995,6.890909090909091,5.3945485952344665,1.6,2.3636363636363638,2.0613558231299436,92.4,95.7909090909091,88.14722349235383,76.0,77.96363636363637,74.34623448322581,22.0,23.363636363636363,23.281884536571326,0.49420000000000003,0.4747272727272728,0.4805435316432117,52.6,54.27272727272727,52.8581517045166,0.44020000000000004,0.4186363636363637,0.4296554217683619,23.0,22.545454545454547,22.458720723466953,0.31779999999999997,0.2863636363636364,0.3558510050974615,16.0,15.090909090909092,17.644126064793646,0.6046,0.6891818181818181,0.6546915273755696,10.0,10.454545454545455,11.86387576419584,6.6,4.545454545454546,6.369337330014057,205.0,206.8181818181818,206.38036207217738,93.44000000000001,91.43636363636364,91.9560568341547,26.46,24.372727272727275,26.73639689071788,7.2,7.181818181818182,7.287676336601807,15.2,16.0,15.781418821656592,61.6,61.54545454545455,62.10299920405088,7.939999999999998,9.209090909090909,8.495498653660519,5.4,6.2727272727272725,5.884536571322123,0.3284,0.33645454545454545,0.2902300123626142,17.2,18.181818181818183,15.460160205930672,0.32639999999999997,0.31881818181818183,0.3519290758522583,5.6,6.0,5.3216819929211345,51.56,51.16363636363636,51.68635370624398,29.2,30.545454545454547,30.56956087317313,0.5142,0.503,0.5104676116445663,17.84,17.318181818181817,18.160124642246274,13.0,12.818181818181818,13.486392656945927,35.4,36.09090909090909,37.397991498585924,0.496,0.4537272727272727,0.45850933970092644,17.4,16.545454545454547,17.13703873054582,0.25579999999999997,0.20263636363636364,0.27738759335467156,2.4,1.4545454545454546,2.6653457298176093
2020-01-05,"Koessler Athletic Center, Buffalo, New York",Fairfield,Canisius,Away,47.4,9,13.9,5,63.6,82.1,32,0.402,51,0.373,19,0.196,10,0.5,5,8,200,69.7,24.1,7,13,46,3.0,2,0.294,15,0.2,3,57.4,39,0.413,21.3,15,36,0.444,16,0.385,5,47.1,46.074999999999996,44.64689382264447,11.0,10.333333333333334,10.628940936058754,4.279999999999999,6.841666666666666,5.696365730156311,1.6,2.3333333333333335,2.040903882086629,94.22,97.575,97.8314823282359,75.84,78.06666666666666,75.96415632215054,21.8,23.0,21.85458969104755,0.4888,0.47541666666666665,0.4813623544288078,54.6,54.75,55.23876780301107,0.43420000000000003,0.42124999999999996,0.43643694784557463,23.6,22.916666666666668,23.972480482311305,0.3184,0.2860833333333333,0.331567336731641,16.6,15.25,17.4294173765291,0.6274,0.6709999999999999,0.5934610182503797,10.6,10.25,10.57591717613056,7.0,4.833333333333333,6.912891553342705,205.0,206.25,204.25357471478492,96.0,92.40833333333335,95.67070455610313,32.08,26.625,34.95759792714526,9.6,8.166666666666666,11.191784224401205,16.0,16.0,15.854279214437728,63.6,61.916666666666664,63.40199946936726,7.599999999999999,8.7,6.696999102440347,5.2,5.916666666666667,4.589691047548082,0.303,0.32783333333333337,0.27115334157507615,16.4,17.833333333333332,14.973440137287115,0.35019999999999996,0.3160833333333333,0.3299527172348389,5.8,5.833333333333333,4.88112132861409,54.2,52.09166666666667,55.22423580416265,31.4,31.166666666666668,33.046373915448754,0.5124,0.5015,0.5019784077630443,18.4,17.474999999999998,18.506749761497517,14.0,13.083333333333334,14.324261771297287,38.2,36.916666666666664,40.26532766572395,0.4648,0.4575833333333333,0.4723395598006177,17.8,17.083333333333332,19.091359153697216,0.29379999999999995,0.2135,0.2959250622364477,3.0,1.6666666666666667,3.110230486545073
2020-01-08,"Webster Bank Arena, Bridgeport, Connecticut",Marist,Fairfield,Away,47.4,9,10.0,3,104.5,67.7,21,0.436,47,0.404,19,0.511,24,0.708,17,9,200,86.6,10.3,3,22,58,7.5,5,0.234,11,0.273,3,40.0,24,0.497,18.4,13,36,0.444,16,0.357,5,42.04,46.176923076923075,45.56459588176298,9.6,10.23076923076923,10.08596062403917,7.06,7.384615384615385,8.430910486770873,2.6,2.5384615384615383,3.0272692547244198,86.62,94.96153846153847,86.42098821882394,75.46,78.37692307692308,78.00943754810037,24.0,23.692307692307693,25.236393127365034,0.45940000000000003,0.4697692307692308,0.4549082362858719,54.6,54.46153846153846,53.825845202007386,0.4226,0.4175384615384615,0.4152912985637165,23.0,22.615384615384617,22.314986988207536,0.3026,0.27915384615384614,0.28637822448776074,15.8,14.846153846153847,14.952944917686068,0.5702,0.6578461538461539,0.5623073455002532,9.4,9.846153846153847,8.717278117420374,7.4,5.076923076923077,7.275261035561805,205.0,205.76923076923077,202.8357164765233,87.97999999999999,90.66153846153846,87.0138030374021,29.98,26.430769230769233,31.33839861809684,9.2,8.076923076923077,9.79452281626747,15.4,15.76923076923077,14.902852809625152,59.4,60.69230769230769,57.601332979578174,6.56,8.26153846153846,5.464666068293565,4.6,5.615384615384615,3.726460698365388,0.248,0.3252307692307692,0.2787688943833841,13.6,17.615384615384617,14.982293424858078,0.3074,0.30715384615384617,0.28663514482322594,4.0,5.615384615384615,4.254080885742727,53.92,52.5,55.94949053610844,33.2,31.76923076923077,35.03091594363251,0.4788,0.4946923076923077,0.4723189385086962,18.96,17.76923076923077,19.43783317433168,14.4,13.23076923076923,14.549507847531526,41.0,36.84615384615385,38.8435517771493,0.4626,0.45653846153846156,0.4628930398670785,19.0,17.0,18.060906102464813,0.3208,0.2266923076923077,0.32561670815763183,3.6,1.9230769230769231,3.7401536576967156
2020-01-10,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",Manhattan,Fairfield,Home,52.6,10,3.2,1,98.4,92.9,26,0.564,39,0.487,19,0.821,32,0.75,24,9,200,111.5,23.8,5,17,68,6.6,4,0.205,8,0.75,6,63.3,31,0.627,19.7,13,31,0.419,13,0.4,6,43.7,46.26428571428572,46.17639725450866,9.6,10.142857142857142,9.723973749359448,8.52,7.571428571428571,8.953940324513916,3.0,2.5714285714285716,3.0181795031496135,88.74000000000001,95.64285714285714,92.44732547921596,74.18,77.61428571428571,74.57295836540025,24.2,23.5,23.824262084910025,0.45220000000000005,0.46735714285714286,0.44860549085724793,53.2,53.92857142857143,51.550563468004924,0.4182,0.41657142857142854,0.411527532375811,22.2,22.357142857142858,21.20999132547169,0.3604,0.2957142857142857,0.36125214965850716,18.2,15.5,17.968629945124047,0.5952,0.6614285714285714,0.6108715636668355,11.4,10.357142857142858,11.478185411613584,7.8,5.357142857142857,7.85017402370787,205.0,205.35714285714286,201.89047765101554,87.72,90.37142857142858,86.8758686916014,28.339999999999996,25.27857142857143,24.32559907873123,8.8,7.714285714285714,7.529681877511647,16.8,16.214285714285715,17.268568539750103,59.4,60.5,57.73422198638545,6.539999999999999,8.207142857142857,6.1431107121957105,4.6,5.571428571428571,4.150973798910259,0.24300000000000002,0.31871428571428567,0.2638459295889227,13.0,17.142857142857142,13.65486228323872,0.2906,0.3047142857142857,0.28209009654881734,3.6,5.428571428571429,3.836053923828485,52.65999999999999,51.607142857142854,50.63299369073897,33.0,31.214285714285715,31.353943962421674,0.481,0.49485714285714283,0.48054595900579755,19.5,17.814285714285713,19.091888782887786,14.8,13.214285714285714,14.033005231687685,40.2,36.785714285714285,37.8957011847662,0.4614,0.4556428571428572,0.45659535991138567,18.6,16.928571428571427,17.37393740164321,0.3478,0.236,0.33607780543842125,4.2,2.142857142857143,4.160102438464477
